episodes,rating,genre_Action,genre_Adventure,cluster_id
0.0,0.0,1,1,1
0.0,0.0,1,1,2
0.0,0.0,1,1,1
0.0,0.0,1,1,3
0.0,0.0,1,1,2
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,2
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,1
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,5
0.0,0.0,1,1,1
0.0,0.0,1,1,2
0.0,0.0,1,1,2
0.0,0.0,1,1,5
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,1
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,2
0.0,0.0,1,1,2
0.0,0.0,1,1,1
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,10
0.0,0.0,1,1,10
0.0,0.0,1,1,10
0.0,0.0,1,1,3
0.0,0.0,1,1,8
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,9
0.0,0.0,1,1,8
0.0,0.0,1,1,11
0.0,0.0,1,1,9
0.0,0.0,1,1,9
0.0,0.0,1,1,9
0.0,0.0,1,1,9
0.0,0.0,1,1,12
0.0,0.0,1,1,1
0.0,0.0,1,1,10
0.0,0.0,1,1,10
0.0,0.0,1,1,10
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,12
0.0,0.0,1,1,1
0.0,0.0,1,1,12
0.0,0.0,1,1,12
0.0,0.0,1,1,9
0.0,0.0,1,1,10
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,12
0.0,0.0,1,1,1
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,9
0.0,0.0,1,1,10
0.0,0.0,1,1,10
0.0,0.0,1,1,10
0.0,0.0,1,1,9
0.0,0.0,1,1,9
0.0,0.0,1,1,9
0.0,0.0,1,1,9
0.0,0.0,1,1,9
0.0,0.0,1,1,9
0.0,0.0,1,1,9
0.0,0.0,1,1,12
0.0,0.0,1,1,9
0.0,0.0,1,1,9
0.0,0.0,1,1,9
0.0,0.0,1,1,1
0.0,0.0,1,1,9
0.0,0.0,1,1,10
0.0,0.0,1,1,10
0.0,0.0,1,1,10
0.0,0.0,1,1,10
0.0,0.0,1,1,10
0.0,0.0,1,1,10
0.0,0.0,1,1,10
0.0,0.0,1,1,10
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,13
0.0,0.0,1,1,13
0.0,0.0,1,1,13
0.0,0.0,1,1,13
0.0,0.0,1,1,13
0.0,0.0,1,1,13
0.0,0.0,1,1,13
0.0,0.0,1,1,13
0.0,0.0,1,1,13
0.0,0.0,1,1,13
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,3
0.0,0.0,1,1,13
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,2
0.0,0.0,1,1,10
0.0,0.0,1,1,2
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,11
0.0,0.0,1,1,11
0.0,0.0,1,1,11
0.0,0.0,1,1,11
0.0,0.0,1,1,1
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,10
0.0,0.0,1,1,10
0.0,0.0,1,1,10
0.0,0.0,1,1,10
0.0,0.0,1,1,1
0.0,0.0,1,1,1
0.0,0.0,1,1,12
0.0,0.0,1,1,12
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,4
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,3
0.0,0.0,1,1,10
0.0,0.0,1,1,10
0.0,0.0,1,1,10
0.0,0.0,1,1,3
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,8
0.0,0.0,1,1,1
0.0,0.0,1,1,2
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,3
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,5
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,7
0.0,0.0,1,1,7
